japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
に加えて(ni kuwaete),in addition ~,"Meaning 意味 in addition ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun に加えて Related Kanji 漢字 N3 Kanji: 加 (ka, kwaeru) Meaning: add, join",jlpt_n2,"のどの痛みに加えて、熱も出てきたので学校を休むしかない。
nodo no itami ni kuwaete, netsu mo detekita node gakkou o yasumu shika nai.
In addition to throat pain, I've started getting a fever and have no choice but to miss school.","彼女は週末にアルバイトに加えて、ボランティア活動もしている。
kanojo wa shuumastu ni barubaito ni kuwaete, borantia katsudou mo shite iru.
In addition to working a part-time job on weekends, she also works as a volunteer.","今学期から初級クラスに加えて、中級クラスでも教えるようになった。
kongakki kara shokyuu kurasu ni kuwaete, chuukyuu kurasu demo oshieru youni natta.
From this semester, in addition to teaching the beginner class I will also be teaching the intermediate class.","母は高血圧に加えて、心臓もあまり良くないので心配だ。
haha wa kouketsuatsu ni kuwaete, shinzou mo amari yokunai node shinpai da.
My mother has high blood pressure in addition to a weak heart so I am worried.","彼女は看護師の資格に加えて、保育士の資格も持っている。
kanojo wa kangoshi no shikaku ni kuwaete, hoikushi no shikaku mo motte iru.
In addition to having her nurse qualification, she also is certified as a childcare worker."
に基づいて(ni motozuite),based on; on the basis of ~,"Meaning 意味 based on; on the basis of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun に基づいて に基づき Related Kanji 漢字 N1 Kanji: 基 (ki, moto, motoi) Meaning: fundamentals, foundation",jlpt_n2,"この小説は実際にあったことに基づいて書かれたそうです。
kono shousetsu wa jissai ni atta koto ni motoduite kakareta soudesu.
This novel is apparently written based on things that actually happened.","このテストの結果に基づいて君たちのクラスを分けるので、頑張ってください。
kono tesuto no kekka ni motodzuite kimitachi no kurasu o wakeru node, ganbatte kudasai.
We will split your class based on the results of this test, so good luck!","集めた資料に基づいて、卒業の論文を書きました。
atsumeta shiryou ni motozuite, sotsugyou no ronbun o kakimashita.
I wrote my graduation thesis based on the collected materials.","私は長年の経験に基づき新入社員を教育する。
watashi wa naganen no keiken ni motozuki shinnyuu shain o kyouiku suru.
I educate new employees based on years of experience.","公務員の給与は、法律に基づいて決められています。
koumuin no kyuuyo wa, houritsu ni motozuite kimerarete imasu.
The salaries of civil servants are determined by law."
に向かって(ni mukatte),to face; to go towards; to head to ~,"Meaning 意味 to face; to go towards; to head to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun に向かって に向けて Related Kanji 漢字 N3 Kanji: 向 (kou, mu(ku), muka(i)) Meaning: facing, beyond",jlpt_n2,"先生に向かって失礼なことを言わないでください。
sensei ni mukatte shitsurei na koto o iwanaide kudasai.
Please don’t say rude things to your teacher.","彼女は今どこに向かっていますか？
kanojo wa ima doko ni mukatte imasu ka?
Where is she heading to?","私は今新幹線に乗って東京に向かっています。
watashi wa ima shinkansen ni notte toukyou ni mukatte imasu.
I am currently on a bullet train heading towards Tokyo.","学生たちは黒板に向かって座っている。
gakuseitachi wa kokuban ni mukatte suwatteiru.
The students are sitting facing the blackboard.","選手はゴールに向かって全速力で走っている。
senshu wa gooru ni mukatte zensokuryoku de hashitteiru.
The players are running toward the goal at full speed."
に応じて(ni oujite),depending on; in accordance with ~,"Meaning 意味 depending on; in accordance with ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun に応じて に応じた Related Kanji 漢字 N1 Kanji: 応 (ou, kotaeru) Meaning: apply, answer, yes, OK, reply, accept",jlpt_n2,"この学校は生徒の日本語のレベルに応じて、クラスを分けます。
kono gakkou wa seito no nihon no reberu ni oujite, kurasu o wakemasu.
At this school students are divided up based on their Japanese ability level.","家具は部屋の広さに応じて決めたほうがいい。
kagu wa heya no hirosa ni oujite kimeta hou ga ii.
You had best pick furniture based on the space of the room.","この店は季節に応じてメニューが異なるからおもしろい。
kono mise wa kisetsu ni oujite menyuu ga kotonaru kara omoshiroi.
This restaurant is interesting because the menu varies according to the season.","このテーブルは、人数に応じて、大きさを変えることもできるんです。
kono teeburu wa, ninzuu ni oujite, ookisa o kaeru koto mo dekirun desu.
This table can change sizes according to the number of people to fit.","大学では、学生の興味に応じて、好きな授業を受けることができる。
daigaku dewa, gakusei no kyoumi ni oujite, suki na jugyou o ukeru koto ga dekiru.
At university, students can take classes according to what they are interested in."
に際して(ni saishite),on the occasion of; at the time of ~,"Meaning 意味 on the occasion of; at the time of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) に際して（は） Noun Related Kanji 漢字 N3 Kanji: 際 (sai, kiwa) Meaning: occasion, time",jlpt_n2,"車を買うに際しては、保険に入らなければならない。
kuruma o kau ni saishite wa, hoken ni hairanakereba naranai.
When you buy a new car, you must buy insurance.","試験に際して、携帯電話の電源を切ってください。
shiken ni saishite, keitai denwa no dengen o kitte kudasai.
Please turn off your cell phones during the test.","お申し込みに際しては、履歴書が必要となります。
omoushikomi ni saishite wa, rirekisho ga hitsuyou to narimasu.
When applying, a resume is required.","図書館のご利用に際しては、以下の点にご注意ください。
toshokan no goriyou ni saishite wa, ika no ten ni go chuui kudasai.
Please follow the below rules when using the library.","仕事選びに際してはベネフィッツも重要だ。
shigoto erabi ni saishite wa benefittsu mo juuyou da.
Benefits are important when choosing a job."
にせよ/ にしろ(ni seyo/ ni shiro),even if; regardless; whether... or ~,"Meaning 意味 even if; regardless; whether... or ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) にせよ にしろ Noun + (である) な-adjective + (である) い-adjective",jlpt_n2,"熱が下がったにせよ、しばらく安静が必要です。
netsu ga sagatta ni seyo, shibaraku ansei ga hitsuyou desu.
Even if your fever has gone down, you still need to rest.","欠席するにせよ連絡はしてください。
kesseki suru ni seyo renraku wa shite kudasai.
Even if you will be absent, please contact us.","事故で自転車がめちゃくちゃになったが、何にしろ、誰もけがをしなくてよかった。
jiko de jitensha ga mechakucha ni natta ga, nani ni shiro, daremo kega o shinakute yokatta.
My bike got pretty messed up in an accident, but at any rate, I'm just glad nobody was hurt.","ここは不便でどの駅に行くにせよ、徒歩で30分以上かかる。
koko wa fuben de dono eki ni iku niseyo, toho de 30 pun ijou kakaru.
This place is really inconvenient, no matter which station you go to will take at least 30 minutes by foot.","来るにせよ来ないにせよ、必ず連絡を入れてください。
kuru ni seyo konai ni seyo, kanarazu renraku o irete kudasai.
Whether you will come or not, please make sure to inform us."
にしろ～にしろ(ni shiro~ni shiro),whether… or ~,"Meaning 意味 whether… or ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dict. form) にしろ にせよ Verb ない form にしろ にせよ Noun Noun な-adj な-adj い-adj い-adj",jlpt_n2,"明日のパーティーに行くにしろ行かないにしろ、連絡してくださいね。
ashita no paatii ni iku ni shiro ikanai ni shiro, renraku shite kudasai ne.
Whether you go to the party tomorrow or not, please contact me.","就職するにしろ進学するにしろ、自分でよく考えてください。
shuushoku suru ni shiro shingaku suru ni shiro, jibun de yoku kangaete kudasai.
Think carefully by yourself whether you’ll start working or pursue higher education.","犬にしろ猫にしろ、このマンションではペットを飼ってはいけない決まりです。
inu ni shiro neko ni shiro, kono manshon dewa petto o katte wa ikenai kimaridesu.
Whether it be dogs or cats, pets are not allowed in this apartment.","給料が上がるにしろ上がらないにしろ、私はこの仕事を辞めます。
kyuuryou ga agaru ni shiro agaranai ni shiro, watashi wa kono shigoto o yamemasu.
I will quit this job regardless of whether my salary goes up or not.","使うにしろ使わないにしろ、それをもらったことにはお礼を言った方がいいですよ。
tsukau ni shiro tsukawanai ni shiro, sore o moratta koto niwa orei o itta hou ga iidesu yo.
Whether you will use it or not, you should say thanks for receiving it."
にしたら / にすれば(ni shitara / ni sureba),from one’s perspective; from the point of view of ~,"Meaning 意味 from one’s perspective; from the point of view of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun にしたら にすれば",jlpt_n2,"あなたにすれば小さなことかもしれないけど、ほかの人にはそうでもないんですよ。
anata ni sureba chiisa na koto kamo shirenai kedo, hoka no hito niwa soudemo nain desu yo.
To you, this may be just a small issue, but that's not the same for other people.","大きすぎる親の期待は、子供にしたら苦痛だ。
ookisugiru oya no kitai wa kodomo ni shitara kutsuu da.
Too big of expectations from parents are painful for children to bear.","犬や猫は可愛いが、飼っていない人にすれば迷惑なこともある。
inu ya neko wa kawaii ga, katteinai hito ni sureba meiwaku na koto mo aru.
Dogs and cats are cute, but they can be a nuisance to people who don’t have them.","彼にすれば冗談のつもりでも、彼女はすごく傷ついている。
kare ni sureba joudan no tsumori demo, kanojo wa sugoku kizu tsuite iru.
To him it was just a joke, but she is extremely hurt.","日本人にすれば簡単な漢字でも、外国人にはとても難しいことかもしれない。
nihonjin ni sureba kantan na kanji demo, gaikokujin niwa totemo muzukashii koto kamo shirenai.
From a Japanese person's perspective, even a simple kanji character might be very difficult for foreigners."
に沿って(ni sotte),along with; in accordance with ~,"Meaning 意味 along with; in accordance with ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun に沿って に沿い に沿う に沿った Related Kanji 漢字 N1 Kanji: 沿 (en, so(u), -zo(i)) Meaning: run alongside, follow along, run along, lie along",jlpt_n2,"この坂道に沿って自転車で行けば、1時間半ぐらいで頂上に着きます。
kono sakamichi ni sotte jitensha de ikeba, ichi jikanhan gurai de choujou ni tsukimasu.
If you go along this mountain road by bicycle, you will reach the peak in about an hour and a half.","週末は、川の道に沿って二時間ほど仲間とサイクリングしました。
shuumatsu wa, kawa no michi no sotte ni jikan hodo nakama to saikuringu shimashita.
On the weekend, I went cycling for about 2 hours with my friends along the river path.","この道を線路に沿って真っすぐ行くと、左側に美味しいケーキ屋があります。
kono michi o senro ni sotte massugu iku to, hidari gawa ni oishii keekiya ga arimasu.
If you go straight along this road parallel to the railroad tracks, on the left side there is a delicious cake shop.","今日はお配りしている資料の内容に沿って、発表いたします。
kyou wa o kubari shite iru no naiyou ni sotte, happyou itashimasu.
Today I will make an announcement in accordance with the documents being handed out.","祖父の遺産は、遺言に沿って分配しました。
sofu no isan wa, yuigon ni sotte bunpai shimashita.
My grandfather's inheritance was divided up in accordance with his will."
に相違ない(ni soui nai),without a doubt; certain; sure,"Meaning 意味 without a doubt; certain; sure
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: without
How to use 使い方 Verb (casual) に相違ない Noun + （である） な-adjective + （である） い-adjective Related Kanji 漢字 N3 Kanji: 違 (i, chigau) Meaning: difference, differ",jlpt_n2,"冷蔵庫に入れていたアイスクリームを食べたのは、娘に相違ない。
reizouko ni irete ita aisu kuriimu o tabeta nowa, musume ni souinai.
I'm certain it was my daughter who ate the ice cream I put in the freezer.","その情報を漏らしたのは彼女に相違ない。
sono jouhou o morashita no wa kanojo ni soui nai.
The one who leaked that information must be her.","この日本語学校は色々な国の学生がいる、楽しいに相違ない。
kono nihongo gakkou wa iroiro na kuni no gakusei ga iru, tanoshii ni souinai.
This Japanese language school has students from various countries, it will certainly be enjoyable.","これだけの証拠があるなら、犯人はあの男に相違ない。
kore dake no shouko ga aru nara, hannin wa ano otoko ni souinai.
With this much evidence, without a doubt that man is the criminal.","この地域の水汚染の問題を解決するのは難しいに相違ない。
kono chiiki no mizu osen no mondai o kaiketsu suru nowa muzukashii ni soui nai.
""Solving this area’s water pollution problem is certainly going to be difficult. """
に過ぎない(ni suginai),no more than; just; merely; only ~,"Meaning 意味 no more than; just; merely; only ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) に過ぎない に過ぎません Noun + (である) な-adjective + (である) い-adjective Related Kanji 漢字 N3 Kanji: 過 (ka, sugiru) Meaning: overdo, exceed, go beyond",jlpt_n2,"単に幸運だったにすぎない。
tannni kouun datta ni suginai.
That was just pure luck.","これはまだ始まりにすぎない。
kore wa mada hajimari ni suginai.
This is only the beginning.","そんなのは言い訳に過ぎない。
sonna no wa iiwake ni suginai.
That's just an excuse.","それはただの道具にすぎない。その道具をどう使うかが大切だ。
sore wa tada no dougu ni suginai. sono dougu o tsukau ka ga taisetsu da.
That is merely a tool. What is important is how you use it.","病気で病院へ行ったといっても、ただの風邪に過ぎない。
byouki de byouin e itta to ittemo, tada no kaze ni suginai.
Although i said that i went to the hospital because i was sick, it was just a normal cold."
に伴って(ni tomonatte),as; due to; with; along with; following; accordingly ~,"Meaning 意味 as; due to; with; along with; following; accordingly ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) に伴って に伴い に伴う Noun",jlpt_n2,"それに伴って私たちの予定は再度変わるかもしれません。
sore ni tomonatte watashi tachi no yotei wa saido kawaru kamo shiremasen.
Accordingly, our plans may change again.","人口が増えるに伴って、いろいろな問題が起こってきた。
jinkou ga fueru ni tomonatte, iroiro na mondai ga okotte kita.
As the population increased, various problems began to occur.","彼は昨日のパーティーに婚約者に伴って来た。
kare wa kinou no paatii ni konyakusha ni tomonatte kita.
He came to yesterday's party with his fiance.","会社を倒産に伴って、多くの社員が失業した。
kaisha o tousan ni tomonatte, ooku no shain ga shitsugyou shita.
Following the company's bankruptcy, many employees lost their jobs.","インターネットの普及に伴って、ネットで買い物をする人が増えた。
intaanetto no fukyuu ni tomonatte, netto de kaimono o suru hito ga fueta.
With the spread of the internet, more and more people are shopping online."
につけ(ni tsuke),every time; whenever; as; whether; in (either case)​,"Meaning 意味 every time; whenever; as; whether; in (either case)​
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) につけ につけて Noun",jlpt_n2,"その写真を見るにつけ、小学校のころを思い出す。
sono shashin o miru ni tsuke, shougakkou no koro o omoidasu.
Whenever I see that photo, I think back to my elementary school days.","環境汚染のニュースを聞くにつけて、健康への影響に不安を感じる。
kankyou osen no nyuusu o kiku ni tsukete, kenkou e no eikyō ni fuan o kanjiru.
Whenever I hear about environmental pollution on the news I worry about it's effect on our health.","謝るにつけ謝らないにつけ私は許しませんよ。
ayamaru ni tsuke ayamaranai ni tsuke watashi wa yurushimasen yo.
Whether you apologize or not, I will not forgive you.","雨につけ、雪につけ、あの人は毎日一時間のジョギングを続ける。
ame ni tsuke, yuki ni tsuke, ano hito wa mainichi ichijikan no jokingu o tsudukeru.
Whether it rains or snows, that person continues to jog for 1 hour every day.","一生懸命勉強する子供たちを見るにつけ、この仕事をやっていて、本当によかったと思う。
isshoukenmei benkyou suru kodomo tachi o miru ni tsuke, kono shigoto o yatte ite, hontou ni yokatta to omou.
Whenever I see children working hard on their studies, I feel really glad to be doing this job."
につき(ni tsuki),due to; because of; per; each,"Meaning 意味 due to; because of; per; each
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun + につき",jlpt_n2,"昼休みにつき、事務所は2時まで休みです。
hiruyasumi ni tsuki, jimusho wa 2 ji made yasumi desu.
The office will be closed until 2 o’clock due to the lunch break.","現在、工事中につき、このエリアは通行ができません。
genzai, koujichuu ni tsuki, kono eria wa tsuukou ga dekimasen.
Due to this area being currently under construction, you cannot pass through.","店内改装につき、しばらく休業いたします。
tennai kaisou ni tsuki, shibaraku kyuugyou itashimasu.
Due to store interior remodeling, this shop will be closed for a while.","冷房中につき、部屋に入る時はドアを閉めてください。
reibouchuu ni tsuki, heya ni hairu toki wa doa o shimete kudasai.
Because the AC is running, please close the door when you enter the room.","会議中につき中に入ってはいけない。ここでお待ちください。
kaigichuu ni tsuki naka ni haittewa ikenai. Koko de omachi kudasai.
Because there is a meeting going on, you cannot enter inside. Please wait here."
にわたって(ni watatte),throughout; over a period of ~,"Meaning 意味 throughout; over a period of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun にわたって Related Kanji 漢字 N3 Kanji: 渡 (to, wataru) Meaning: transit, ferry, cross",jlpt_n2,"道路は数マイルにわたってまっすぐ続いていた。
douro wa suu mairu ni watatte massugu tsuzuiteita.
The road ran straight for several miles.","広い地域にわたって大雪が降った。
hiroi chiiki ni watatte ooyuki ga futta.
There was heavy snow over a large area.","雨が１週間にわたって降り続いた。
ame ga isshuukan ni watatte furi tsuzuita.
The rain continued throughout the entire week.","この会社は2世紀にわたって、おもちゃを作っている。
kono kaisha wa ni seiki ni watatte, omocha o tsukutteiru.
This company has been making toys for 2 centuries.","彼の知識は広範囲にわたっている。
kare no chishiki wa kouhan'i ni watatteiru.
His knowledge is very extensive."
にも関わらず(nimo kakawarazu),despite; in spite of; nevertheless; although ~,"Meaning 意味 despite; in spite of; nevertheless; although ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) にも関わらず にもかかわらず Noun + （である） な-adjective + （である） い-adjective Related Kanji 漢字 N3 Kanji: 関 (kan, seki, kakawaru) Meaning: connection",jlpt_n2,"大学生にも関わらず、基本的な漢字が書けない人もいる。
daigakusei nimo kakawarazu, kihonteki na kanji ga kakenai hito mo iru.
Despite being university students, there are some people who cannot write basic kanji.","問題が易しかったにも関わらず、不注意でミスをしてしまった。
mondai ga yasashikatta nimo kakawarazu, fuchuui de misu o shite shimatta.
Even though the problem was easy, I made a careless mistake.","一生懸命勉強したにも関わらず、入りたかった大学の試験に落ちてしまった。
isshou kenmei benkyou shita nimo kakawarazu, hairitakatta daigaku no shiken ni ochite shimatta.
Despite studying to the best of my ability, I failed the entrance exam for my target university.","彼は全く日本語が話せないにも関わらず、日本で生活したいと言っている。
kare wa mattaku nihongo ga hanasenai nimo kakawarazu, nihon de seikatsu shitai to itte iru.
He says he wants to live in Japan, despite not being able to speak Japanese at all.","校則で禁止されているにも関わらず、授業中にスマホを使う学生が多い。
kousoku de kinshi sarete iru nimo kakawarazu, jugyouchuu ni sumaho o tsukau gakusei ga ooi.
Despite being banned by school regulations, many students use smartphones during class."
にて(nite),"in, at, with, by (formal particle)","Meaning 意味 in, at, with, by (formal particle)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese particles
How to use 使い方 Noun にて",jlpt_n2,"今回のイベントは駅前にて行います。
konkai no ibento wa ekimae nite okonai masu.
This event will be held in front of the station.","質問があれば電話かメールにて連絡ください。
shitsumon ga areba denw ka meeru nite renraku kudasai.
If there are any questions, please contact us by phone or email.","この資料は大事なものですので、書留便にて送ります。
kono shiryou wa daiji na mono desu node, kakitomebin nite okurimasu.
These documents are very important, so I will send them by registered mail.","週末の試合は雨の場合だと、体育館にて行います。
shuumatsu no shiai wa ame no baai dato, taiikukan nite okonai masu.
The weekend match will be held in the gymnasium in the event of rain.","こちらへどうぞ！安田さんは3階の会議室にてお待ちしております。
kochira e douzo! yasuda san wa 3 kai no kaigishitsu nite omachishite orimasu.
Please come over this way. Mr. Yasuda is waiting in the meeting room on the 3rd floor."
のももっともだ(no mo motto mo da),no wonder; …is only natural,"Meaning 意味 no wonder; …is only natural
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) + のも （は）もっともだ Noun + も",jlpt_n2,"彼が仕事を辞めるのももっともだ。
kare ga shigoto o yameru no mo motto mo da.
He has every reason to quit his job.","彼女は毎日頑張って勉強している。N2に合格したのももっともだ。
kanojo wa mainichi gannbatte benkyou shite iru. N2 ni goukaku shita no mo motto mo da.
She works hard every day with her studies. It's no wonder she passed the N2.","あなたはよく嘘ついたから、みんなが信用しないのももっともだ。
anata wa yoku uso tsuita kara, minna ga shinyou shinai no mo motto mo da.
You often lie, so it's only natural that no one trusts you.","大切な人が亡くなったから、落ち込むのももっともだ。
taisetsu na hito ga naku natta kara, ochikomu no mo motto mo da.
They lost someone close to them, so it's only natural to be down.","子供が初めて一人暮らしをするから、親が心配するのももっともだ。
kodomo ga hajimete hitori gurashi o suru kara, oya ga shinpai suru no mo motto mo da.
When it's their child's first time living alone, it's only natural for parents to worry."
の上では(no ue de wa),according to; from the viewpoint of ~,"Meaning 意味 according to; from the viewpoint of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun の上で（は） 上の Related Kanji 漢字 N5 Kanji: 上 (ue, kami, jou) above, up",jlpt_n2,"規則の上では彼はまだ学生だ。
kisoku no ue de wa kare wa mada gakusei da.
According to the rules, he is still a student.","彼は仕事の上では私の先輩だ。
kare wa shigoto no ue de wa watashi no senpai da.
He has more experience on the job than I do.","彼女は健康上の理由で学校をやめた。
kanojo wa kenkou ue no riyuu de gakkou o yameta.
She quit school for health reasons.","法律上、日本人は二十歳にならないとタバコを吸ったり、お酒を飲んだりできない。
houritsu ue, nihonjin wa hatachi ni naranai to tabako o suttari, osake o nondari dekinai.
According to the law, Japanese people cannot smoke or drink until they turn 20 years old.","ニュースの上では、市役所の前で大変な事故が起こった。
nyuusu no ue de wa, shiyakusho no mae de taihen na jiko ga okotta.
According to the news, a terrible accident occurred in front of the city hall."
のみならず(nominarazu),not only; besides; as well as ~,"Meaning 意味 not only; besides; as well as ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) のみならず Noun な-adjective + である い-adjective",jlpt_n2,"彼は英語のみならず、スペイン語も話せる。
kare wa eigo nominarazu, supein go mo hanaseru.
Not only does he speak English, he speaks Spanish as well.","彼のアニメは国内のみならず、海外でも人気がある。
kare no anime wa kokunai nominarazu, kaigai demo ninki ga aru.
His anime is popular not only in Japan, but internationally as well.","健康のためには、食事のみならず、生活リズムも重要になってくる。
kenkou no tame niwa, shokuji nominarazu, seikatsu rizumu mo juuyou ni natte kuru.
For your health, not only is diet important, but so is the rhythm of your lifestyle.","学生のみならず、教師もスポーツ大会に参加することになっている。
gakusei nominarazu, kyoushi mo supootsu taikai ni sanka suru koto ni natteiru.
Not only the students, but the teachers as well will be participating in the sports festival.","こちらの製品は日本国内のみならず、海外でも広くご利用いただいています。
kochira no seihin wa nihon kokunai nominarazu, kaigai demo hiroku riyou itadaite imasu.
This product is not only being widely used in Japan, but internationally as well."
抜きにして / 抜きで(nuki ni shite / nuki de),without; leaving out; cutting out ~,"Meaning 意味 without; leaving out; cutting out ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: without
How to use 使い方 Noun 抜きにして（は） 抜きで（は） 抜きに（は） Related Kanji 漢字 N3 Kanji: 抜 (batsu, nuku) slip out, remove",jlpt_n2,"ハンバーガーはマスタード抜きでお願いします。
hanbaaga wa masutaado nuki de onegai shimasu.
No mustard on the hamburger please!","冗談抜きで真面目に考えってください。
joudan nuki de majime ni kangaette kudasai.
Stop joking around and think about it seriously.","今夜、仕事の話は抜きにして楽しく飲みましょう！
konya, shigoto no hanashi wa nuki ni shite tanoshiku nomimashou!
Tonight, let's not talk about work and just enjoy ourselves!","すみません、チーズ抜きでお願いできますか。
sumimasen, chiizu nuki de onegai dekimasu ka.
Excuse me, can I please have mine without cheese?","毎回遅刻してくるし、今度のパーティーはトムさん抜きでやろうか。
maikai chikoku shitekuru shi, kondo no patii wa tomu-san nuki de yarou ka.
Since he always comes late, let's have the next party without Tom."
抜く(nuku),"to do something from beginning to end; completely, extremely ~","Meaning 意味 to do something from beginning to end; completely, extremely ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 抜く Related Kanji 漢字 N3 Kanji: 抜 (batsu, nuku) slip out, remove",jlpt_n2,"彼は、何においても頑張り抜く。
kare wa, nani ni oitemo ganbari nuku.
He tries to do his best in everything.","あなたはこの仕事を最後までやり抜くことができますか。
anata wa kono shigoto o saigo made yarinuku koto ga deki masu ka?
Can you stick to this job until it's completed?","どんなに苦しくても最後まで走り抜くつもりだ。
donna ni kurushiku temo saigo made hashiri nuku tsumori da.
No matter how painful it may be, I plan to run all the way until the end.","彼は決めたことは守り抜くでしょう。
kare wa kimeta koto wa mamori nuku deshou.
He will probably stick with the things he's decided on till the end.","大変な仕事でも、やり抜く自信があります。
taihen na shigoto demo, yarinuku jishin ga arimasu.
Even if the work is difficult, I have confidence to do it to the end."
を契機に(o keiki ni),as a good opportunity/chance to; as a result of; make the best of ~,"Meaning 意味 as a good opportunity/chance to; as a result of; make the best of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun を契機に を契機として Related Kanji 漢字 N1 Kanji: 契 (kei, chigi(ru)) Meaning: pledge, promise, vow N3 Kanji: 機 (ki) Meaning: machine, airplane, opportunity",jlpt_n2,"入院を契機に、今後はできるだけ毎日運動しようと思った。
nyuuin o keiki ni, kongo dekiru dake mainichi undou shiyou to omotta.
As a result of my hospitalization, I am thinking to work out as much as possible every day from now on.","入社試験に落ちたのを契機に英会話の勉強を始めた。
nyuusha shiken ni ochita no o keiki ni eikaiwa no benkyou o hajimeta.
I made the best of failing the company entrance exam and started studying English conversation.","父は病気を契機にお酒を辞めました。
chichi wa byouki o keiki ni osake o yamemashita.
My father's illness helped him to quit drinking alcohol.","昨年の事故を契機として、安全対策を強化された。
sakunen no jiko o keiki to shite, anzen taisaku o kyouka sareta.
Safety measures have been strengthened as a result of last year's accident.","もうすぐタバコの値上がりになるので、これを契機に辞めることにしました。
mousugu tabako no neagari ni naru node, kore o keiki ni yameru koto ni shimashita.
Soon the prices of cigarettes will go up, so I decided to take this as an opportunity to quit."
をめぐって(o megutte),concerning; in regard to ~,"Meaning 意味 concerning; in regard to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun をめぐって をめぐる",jlpt_n2,"父の残した土地をめぐって、兄弟喧嘩が続いていく。
chichi no nokoshita tochi o megutte, kyoudai kenka ga tsuzuiteiku.
Concerning the father's leftover land, the fight among siblings continues.","昨日の会議では、新しい計画をめぐって、様々な意見が出された。
kinou no kaigi dewa atarashii keikaku o megutte, samazama na iken ga dasareta.
At yesterday's meeting, many opinions were given regarding the new plan.","オリンピックの代表をめぐって、最後のレースが行われます。
orinpikku no daihyou o megutte, saigo no reesu ga okonawaremasu.
The final race with the Olympic representatives will take place.","そのドラマは、一人の女性をめぐって、三人の男性が戦う話です。
sono dorama wa, hitori no josei o megutte, sannin no dansei ga tatakau hanashi desu.
That drama is about three men fighting over one woman.","環境の問題をめぐって多くの意見が出された。
kankyou no mondai o megutte ooku no iken ga dasareta.
Many opinions were proposed regarding the environmental issues."
をもとに(o moto ni),based on; derived from; building on; beginning with ~,"Meaning 意味 based on; derived from; building on; beginning with ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun をもとに をもとにして",jlpt_n2,"試験の結果をもとにしてクラス分けを行います。
shiken no kekka o moto ni shite kurasu wake o okonaimasu.
We’ll divide the class based on the test results.","この映画は実際にあった話をもとに作られた。
kono eiga wa jissai ni atta hanashi o moto ni tsukurareta.
This movie was made based on things that actually happened.","友だちのアドバイスをもとに、新しいビジネスを始めた。
tomodachi no adobaisu o moto ni, atarashii bijinesu o hajimeta.
Based on advice from my friend, I've started a new business.","人の噂だけをもとにして人の判断するのは良くないだと思います。
hito no uwasa dake o moto ni shite hito no handan suru nowa yokunai da to omoimasu.
I don't think it's good to judge people based only on rumors.","調査団からの報告をもとに救援物資の調達が行われた。
chousadan kara no houkoku o moto ni kyuuen busshi no choutatsu ga okonawareta.
Relief supplies were procured based on reports from the inspection team."
