japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
たがる(tagaru),wants to do ~ (third person),"Meaning 意味 wants to do ~ (third person)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (たい form) た い がる がっている がった がらない",jlpt_n4,"その子が家に帰りたがっている。
sono ko ga ie ni kaeri tagatteiru.
That kid seems like he wants to go home.","木村さんが、あなたに会いたがっていましたよ。
kimura-san ga, anata ni ai tagatte imashita yo.
Kimura-san wanted (wants) to see you.","娘は新しいi-phoneを買いたがっています。
musume wa atarashii i-phone o kaitagatteimasu.
My daughter wants to buy the new i-phone.","息子が塾に行きたがらない。
musuko ga juku ni iki tagaranai.
My son is reluctant to go to cram school.","息子はアニメを見たがっていますが、宿題が終わっていないので、見させません。
musuko wa anime o mitagatteimasu ga, shukudai ga owatteinai node, misasemasen.
My son wants to watch anime, but he hasn't finished his homework, so I won't let him watch it.."
たら(tara),if; after; when ~,"Meaning 意味 if; after; when ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (た form) ら Noun + だった な-adjective + だった い-adjective + い かった",jlpt_n4,"お金があったら、旅行します。
okane ga attara, ryokou shimasu.
If I had money, I would go travel.","一口食べたら、きっと好きになるよ。
hitokuchi tabetara, kitto suki ni naru yo.
Taste one bite, and you will surely like it!","時間がなかったら、テレビを見ません。
jikan ga nakattara, terebi o mimasen.
If I had no time, I wouldn't watch any TV.","安かったら、パソコンを買いたいです。
yasukattara, pasokon o kaitai desu.
If it's cheap, I'd like to buy a computer.","暇だったら、手伝ってください。
hima dattara, tetsudatte kudasai.
If you're free, please help me out."
たらいいですか(tara ii desu ka),what should I do?; speaker seeking instructions from listener,"Meaning 意味 what should I do?; speaker seeking instructions from listener
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions
How to use 使い方 Verb (た form) らいいですか",jlpt_n4,"どうしたらいいですか？
dou shitara ii desu ka?
What should I do?","どこに行ったらいいですか。
doko ni ittara ii desu ka.
Where should I go?","何を食べたらいいですか。
nani o tabetara ii desu ka.
What should I eat?","この本はいつまでに返したらいいですか。
kono hon wa itsu made ni kaeshitara ii desu ka.
When do you need me to return this book to you?","私はどの駅で降りたらいいですか？
watashi wa dono eki de oritara ii desu ka?
Which station should I get off at?"
て / で(te / de),"conjunctive particle; so; because of [A], [B]...","Meaning 意味 conjunctive particle; so; because of [A], [B]...
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: auxiliary , Japanese conjunctions , Japanese particles
How to use 使い方 Verb (て form) Noun +で (usually bad things) な-adjective + で い-adjective + い くて",jlpt_n4,"最近は忙しくてあまり運動をしていない。
saikin wa isogashi kute amari undou o shiteinai.
Lately, I've been busy and so I haven't been working out.","自転車のカギをなくして、家まで歩いて帰った。
jitensha no kagi o nakushite, ie made aruite kaetta.
I lost the key to my bicycle, so I walked home.","あの教室のドアは古くて開けにくいです。
ano kyoushitsu no doa wa furukute ake nikui desu.
The door in that classroom is old and hard to open.","パソコンの調子が悪くて、仕事ができなかった。
pasokon no choushi ga waru kute, shigoto ga deki nakatta.
My computer was acting up and I wasn't able to do any work.","日本に来てから半年をたった。家族に会えなくて寂しい。
nihon ni kite kara hantoshi o tata. kazoku ni aenakute sabishii.
A half-year has passed since I came to Japan. Since I can't see my family, I am a little lonely."
てあげる(te ageru),to do for; to do a favor,"Meaning 意味 to do for; to do a favor
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) あげる あげた あげない あげます",jlpt_n4,"母にセーターを買ってあげた。
haha ni seetaa o katte ageta.
I bought my mother a sweater.","いいよ，僕がやってあげるよ。
iiyo, boku ga yatte ageru yo.
No problem, I'll do it for you.","車に君を乗せてあげる。
kuruma ni kimi o nosete ageru.
I'll give you a ride (by car).","君に見せてあげたかったよ。
kimi ni misete agetakatta yo.
I wanted to show it to you.","私はあなたにそれを教えてあげない。
watashi wa anata ni sore o oshiete agenai.
I won't tell you that."
てほしい(te hoshii),I want you to; need you to ~,"Meaning 意味 I want you to; need you to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) ほしい 欲しい Verb (ないで form) Related Kanji 漢字 N3 Kanji: 欲 (yoku, hoshii) Meaning: longing, greed, passion",jlpt_n4,"日本語を教えてほしいです。
nihongo o oshiete hoshii desu.
I want you to teach me Japanese.","先生には、もっとゆっくり話してほしいです。
sensei ni wa, motto yukkuri hanashite hoshii desu.
I wish the teacher would speak more slowly","あなたに見てほしい写真を持っています。
anata ni mite hoshii shashin o motteimasu.
I have a picture I want you to see.","ぜひ私と一緒に来てほしい。
zehi watashi to isshoni kite hoshii.
I'd love for you to come with me.","私に何をしてほしいのですか?
watashi ni nani o shite hoshii no desu ka?
What do you want me to do?"
ていく(te iku),to start; to continue; to go on,"Meaning 意味 to start; to continue; to go on
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) いく いきます いった いきました",jlpt_n4,"歩いていく。
aruite iku.
to walk / to go by walking / to start walking","彼は毎日駅まで歩いていきます。
kare wa mainichi eki made aruite ikimasu.
He walks to the station every day.","船は港を出ていった。
fune wa minato o detteita.
The ship pulled out of the harbor.","彼は京都へ引っ越していった。
kare wa kyouto he hikkoshite itta.
He moved to Kyoto.","今年はあっという間に過ぎていく。
kotoshi attoiuma ni sugite iku.
This year is going by really fast."
ていた(te ita),was doing something (past continuous),"Meaning 意味 was doing something (past continuous)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) いた いました",jlpt_n4,"彼女はオレンジを食べていた。
kanojo wa orenji o tabeteita.
She was eating an orange.","今日は家でゆっくりしていました。
kyou wa ie de yukkuri shiteimashita.
I relaxed at home today.","私は一晩中泣いていた。
watashi wa hitobanjuu naiteita.
I cried all night.","彼はこのニュースを心配していた。
kare wa kono nyuusu o shinpai shiteita.
He was worried about this news.","今朝、自分の部屋を掃除していました。
kesa, jibun no heya o souji shiteimashita.
I cleaned my room this morning."
ていただけませんか(te itadakemasen ka),could you please ~,"Meaning 意味 could you please ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か
How to use 使い方 Verb (て form) いただけませんか",jlpt_n4,"写真を取っていただけませんか。
shashin o totte itadake masen ka.
Could you take a picture please?","ちょっと待っていただけませんか。
chotto matte itadake masen ka?
Could you please wait a moment?","もう少しゆっくり話していただけませんか。
mou sukoshi yukkuri hanashite itadake masen ka?
Could you please speak a little bit more slowly?","いい先生を紹介していただけませんか？
ii sensei o shoukai shite itadake masen ka？
Could you please introduce me to a good teacher?","荷物を持ってきていただけませんか？
nimotsu o motte kite itadake masen ka？
Could you please carry my luggage?"
てくれる(te kureru),to do a favor; do something for someone,"Meaning 意味 to do a favor; do something for someone
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) くれる くれます くれない くれた くれました",jlpt_n4,"手伝ってくれる？
tetsudatte kureru?
Will you help me?","彼ならやってくれる。
kare nara yatte kureru.
We can count on him to help us.","母は僕に毎日弁当を作ってくれる。
haha wa boku ni mainichi bentou o tukutte kureru.
My mom makes my bento lunch for me every day.","手を貸してくれますか？
te o kashite kuremasu ka?
Will you please help me out?","私に日本語を教えてくれますか？
watashi ni nihongo o oshiete kuremasu ka?
Will you please teach me Japanese?"
てくる(te kuru),to do… and come back; to become; to continue; to start ~,"Meaning 意味 to do… and come back; to become; to continue; to start ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) くる きた きます きました",jlpt_n4,"見えてくる。
miete kuru
To come into view (to start coming into view/ to continue coming into view)","雨が降ってきた。
ame ga futte kita.
It started raining.","戻ってきたよ!
modotte kita!
I'm back!","お腹がすいてきた。
onaka ga suite kita.
I'm hungry / I'm starting to get hungry.","ここまで歩いてきました。
koko made aruite kimashita.
I came here by foot."
てみる(te miru),try doing,"Meaning 意味 try doing
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) みる みます みたい",jlpt_n4,"やってみる！
yatte miru!
I'll give it a shot! / Here goes nothing!","これを使ってみる。
kore o tsukatte miru.
I'll try using this.","やってみないと分からない。
yatte minai to wakaranai.
You'll never know until you try.","いつか海外に行ってみたいな。
itsuka kaigai ni itte mitai na.
One day I'd like to try going abroad.","おいしいかどうかわからないので、試しに食べてみます。
oishii ka dou ka wakaranai node, tameshi ni tabete mimasu.
I don't know if this is tasty or not, so I'm gonna give it a try."
てもらう(te morau),to get somebody to do something,"Meaning 意味 to get somebody to do something
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) もらう もらいます もらいたい もらわない もらいません",jlpt_n4,"彼に来てもらう。
kare ni kite morau.
I will have him come.","先生に作文を直してもらう。
sensei ni sakubun o naoshite morau.
I'll have my teacher check my writing/essay.","あなたにぜひ見てもらいたいものがある。
anata ni zehi mite moraitai mono ga aru.
There's something I want you to look at.","彼は病院でみてもらう必要がある。
kare wa byouin de mite morau hitsuyou ga aru.
He requires hospital care.","母に車で送ってもらった。
haha ni kuruma de okutte moratta.
I had my mom drive me there."
ておく(te oku),to do something in advance,"Meaning 意味 to do something in advance
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) おく おきます おいて",jlpt_n4,"お弁当を作っておいたよ。
obentou o tsukutte oita yo.
I made your bento (lunch box) already.","出かける前に何か食べておこう。
dekakeru mae ni nanika tabete okou.
Let's eat something before we head out.","旅行の前に切符を買っておきます。
ryokou no mae ni kippu o katte okimasu.
I will buy the tickets before the trip.","お母さんには内緒にしておくね。
okaasan ni wa naisho ni shite oku ne.
I will keep it a secret with mom, okay?","来週の試験のため、漢字を勉強しておきました。
raishuu no shiken no tame, kanji o benkyou shite okimashita.
I studied my kanji in preparation for next week's exam."
てしまう / ちゃう(te shimau / chau),"to do something by accident, to finish completely","Meaning 意味 to do something by accident, to finish completely
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) しまう しまいます しまった Verb (て form) ちゃう ちゃった Verb (で form) じゃう じゃった",jlpt_n4,"仕事は全部終わってしまいました。
shigoto wa zenbu owatte shimai mashita.
I've finished with all of my work.","疲れが出たので、寝ちゃった。
tsukare ga deta node, nechatta.
I was tired and so I fell asleep.","パスポートをなくしてしまいました。
pasupooto o nakushite shimai mashita.
I've lost my passport..","漢字の宿題はもうやってしまいました。
kanji no shukudai wa mou yatte shimai mashita.
I've already finished my kanji homework.","明日までに宿題をしちゃいます。
ashita made ni shukudai o shichaimasu.
I will finish my homework by tomorrow."
てすみません(te sumimasen),I’m sorry for,"Meaning 意味 I’m sorry for
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) すみません",jlpt_n4,"遅れてすみません。
okurete sumimasen.
I'm sorry for being late.","心配をかけてすみません。
shinpai o kakete sumimasen.
I apologize for causing you concern.","電話に出れなくてすみません。
denwa ni derenakute sumimasen.
I am sorry that I couldn't answer the phone.","あなたのお弁当を食べてすみません。
anata no obentou o tabete sumimasen.
I’m sorry for eating your lunch box.","返事が遅くなってすみませんでした。
henji ga osoku natte sumimasen deshita.
I'm sorry for replying so late."
てよかった(te yokatta),I’m glad that ~,"Meaning 意味 I’m glad that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) よかった",jlpt_n4,"行ってよかった！
itte yokatta!
I'm glad I went!","これを買ってよかった。
kore o katte yokatta.
I'm glad I bought this.","私はあなたと出会えてよかった。
watashi wa anata to deaete yokatta.
I am glad that I was able to meet you.","財布を見つかってよかったですね。
saifu o mitsukatte yokatta desu ne.
It's a good thing you found your wallet, eh?","君が無事に帰ってよかった。
kimi ga buji ni kaette yokatta.
I'm glad you returned home safely."
ても(temo),even; even if; even though ~,"Meaning 意味 even; even if; even though ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles , ても expressions
How to use 使い方 Verb (て form) も Noun + で な-adjective + で い-adjective + い くて",jlpt_n4,"たくさん食べても、お腹が空きます。
takusan tabetemo, onaka ga sukimasu.
Even if I eat a lot, I still feel hungry.","日曜日でも、働きます。
nichiyoubi demo, hatarakimasu.
I work even on Sundays.","子どもでもできることよ。
kodomo demo dekiru koto yo.
Even children can do this.","必要なので、高くても買います。
hitsuyou nano de, takaku temo kaimasu.
I need this, so I'll still buy it even if it's expensive.","これは多いですよ。がんばっても食べ切れない。
kore wa ooi desu yo. ganbattemo tabe kirei nai.
There is too much.. Even if I give it my all I can't eat everything."
と(to),"whenever [A] happens, [B] also happens","Meaning 意味 whenever [A] happens, [B] also happens
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (dictionary / ない form) と Noun + だ な-adjective + だ い-adjective + い",jlpt_n4,"ラーメンを毎日食べると太りますよ。
raamen o mainichi taberu to futorimasu yo.
If you eat ramen everyday, you're gonna gain weight.","寝る前に甘い物を食べると虫歯になります。
neru mae ni amai mono o taberu to mushiba ni narimasu.
If you eat sweets before going to bed, you will get a cavity.","私の彼氏は酒を飲むと顔が赤くなる。
watashi no kareshi wa sake o nomu to kao ga akaku naru.
Whenever my boyfriend drinks, his face gets red.","勉強するの場所が静かだとよく集中できます。
benkyou suru no basho ga shizuka da to yoku shuuchuu dekimasu.
When the place I study at is quiet, I am able to concentrate very well.","このボタンを押すと、両方のドアが開きますよ。
kono botan o osu to, ryouhou no doa ga akimasu yo.
If you press this button, both doors will open."
と言ってもいい(to ittemo ii),you could say; one might say; I'd say ~,"Meaning 意味 you could say; one might say; I'd say ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions
How to use 使い方 phrase と言ってもいい といっても",jlpt_n4,"それはよい買い物だったといってもいいでしょう。
sore wa yoi kaimono to ittemo ii deshou.
I'd say it was a good buy.","彼はやさしいが，だまされやすいといってもいい。
kare wa yasashii ga, damasare yasui to ittemo ii.
He's a kind person, but could be said to be a bit easy to be deceived.","それはいい考えだ。いや，すばらしいといってもいいだろう。
sore wa ii kangae da. iya, subarashii to ittemo ii darou.
That's a good idea, even brilliant I might say..","それまでの中で一番の旅だったと言ってもいいでしょう。
sore made no naka de ichiban no tabi datta to ittemo ii deshou.
I'd say that was the best trip I had ever taken.","彼女はネイティブと言ってもいいくらい日本語が上手だ。
kanojo wa neitibu to ittemo ii kurai nihongo ga jouzu da.
Her Japanese is so good you could say she's like a native speaker."
という(to iu),called; named; that ~,"Meaning 意味 called; named; that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Noun と言う という と言います といいます Phrase",jlpt_n4,"この犬はバディーという名前です。
kono inu wa badii to iu namae desu.
This dog is called ""Buddy"".","昨日、トムという人に会いました。
kinou, tomu to iu hito ni aimashita.
Yesterday, I met a person called Tom.","明日という日もある。
ashita to iu hi mo aru.
There's always tomorrow.","あなたにとって日本という国はどういう国ですか？
anata ni totte nihon to iu kuni wa dou iu kuni desu ka?
What kind of country is Japan to you?","英語で「宿題」は、なんといいますか？
eigo de 「shukudai」wa, nan to ii masu ka?
How do you say ""shukudai"" (homework) in English?"
ということ(to iu koto),convert phrase into noun,"Meaning 意味 convert phrase into noun
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (casual) ということ Noun + だ な-adjective + だ い-adjective",jlpt_n4,"あなたが私の声が好きだということがとても嬉しいです。
anata ga watashi no koe ga suki da to iu koto ga totemo ureshii desu.
I'm so glad you like my voice.","あなたが会社をやめるということは本当ですか。
anata ga kaisha o yameru to iu koto wa hontou desuka?
Is it true that you're quitting the company?","彼は怖いということを知らない。
kare wa kowai to iu koto o shiranai.
He does not know what fear is.","つまり、あなたは同じ本をまた読みたいということ？
tsumari, anata wa onaji hon o mata yomitai to iu koto?
Do you mean you want to read the same book again?","彼は友だちができるかということを心配している。
kare wa tomodachi ga dekiru ka to iu koto o shinpai shite iru.
I'm worried about if he will be able to make friends."
と言われている(to iwarete iru),it is said that ~,"Meaning 意味 it is said that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (casual, past) と言われている Noun + だ Adjective (standard, past) Related Kanji 漢字 N4 Kanji: 言 (gen, koto) say",jlpt_n4,"彼は天才だと言われている。
kare wa tensai da to iwareteiru.
He is said to be a genius.","彼は来月に退職すると言われている。
kare wa raigetsu ni taishoku suru to iwarete iru.
It's being said that he will quit next month.","女性は男性より長生きだと言われている。
josei wa dansei yori nagaiki da to iwarete iru.
It is said that women live longer than men.","彼女の母親は有名な作家だと言われている。
kanojo no hahaoya wa yuumei na sakka da to iwarete iru.
Her mother is said to be a famous writer.","彼は若い時には体が弱かったと言われている。
kare wa wakai toki ni wa karada ga yowakatta to iwarete iru.
It is said that he had a weak body when he was young."
と思う(to omou),to think…; I think…; you think…,"Meaning 意味 to think…; I think…; you think…
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb と思う と思います と思わない と思いません Noun + だ な-adjective + だ い-adjective",jlpt_n4,"きれいだと思わない？
kirei da to omowanai?
Don't you think it's beautiful?","それはかなりむずかしいと思います。
sore wa kanari muzukashii da to omoimasu.
I think that is extremely difficult.","今日は午後から雨が降ると思います。
kyou wa gogo kara ame ga furu to omoimasu.
I think it will rain today from the afternoon.","この問題、テストに出ると思いますか。
kono mondai, tesuto ni deru to omoimasu ka.
Do you think this problem will be on the test?","日本に留学しようと思っています。
nihon ni ryuugaku shiyou to omotte imasu.
I'm thinking to go study abroad in Japan."
とか～とか(toka~toka),among other things; such as; like ~,"Meaning 意味 among other things; such as; like ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (dictionary form) + とか Verb (dictionary form) + とか Noun + とか Noun + とか",jlpt_n4,"趣味とかありますか？
shumi toka arimasu ka?
Do you have any hobbies (or anything else you do)","私はおすしとかラーメンとか日本料理が好きです。
watashi wa osushi to ka raamen to ka nihon ryouri ga daisuki desu.
I love Japanese food, like sushi, ramen, etc.","このイベントでは、バーベキューとかゲームとかをします。
kono ibento de wa, baabekyuu toka geemu to ka o shimasu..
At this event we will do things like barbecue and play games.","毎日、5分とか、10分とかでもいいので、運動をしたほうがいいですよ。
mainichi, 5 fun toka, 10 pun toka demo ii node, undou o shita hou ga ii desu yo.
You should work out every day, even just 5 to 10 minutes is OK.","毎日、仕事とか、会議とかでとても忙しい。
mainichi, shigoto toka, kaigi toka de totemo isogashii.
I'm busy every day with (things like) work and meetings."
ところ(tokoro),just about to; on the verge of doing something,"Meaning 意味 just about to; on the verge of doing something
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: suffix , ところ expressions
How to use 使い方 Verb (casual, non-past) ところ",jlpt_n4,"今、出かけるところです。
ima, dekakeru tokoro desu.
I am just about to leave.","これから料理を作るところです。
kore kara ryouri o tsukuru tokoro desu.
I am about to start cooking.","今からお風呂に入るところです。
ima kara ofuro ni hairu tokoro desu.
I am about to take a bath.","もう少しで信じるところだった。
mou sukoshi de shinjiru tokoro datta.
I was really close to believing it.","「昼ごはんはもう食べましたか。」「いいえ、これから食べるところです。」
""Have you eaten luch already?""""Nope, I'm about to eat from now."""
続ける(tsuzukeru),continue to; keen on ~,"Meaning 意味 continue to; keen on ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar
How to use 使い方 Verb (ます stem) ます 続ける 続けている 続けた Related Kanji 漢字 N3 Kanji: 続 (zoku, tsuzuku) continue",jlpt_n4,"昨日から雨が降り続けている。
kinou kara ame ga furi tsuzukete iru.
It's been raining nonstop since yesterday.","父からもらった自転車を今も使い続けています。
chichi kara moratta jitensha o ima mo tsukai tsuzukete imasu.
I still use the bicycle that my father gave to me even now.","彼女は彼氏の話をしゃべり続けた。
kanojo wa kareshi no hanashi o shaberi tsuzuketa.
She continued talking about her boyfriend.","それをやり続けたほうがいいのかもしれない。
sore o yari tsuzuketa hou ga ii no kamoshirenai.
It might be better for me to keep doing that.","どんなに大変だったとしても、やり続けることが大切です。
donnani taihen datta toshitemo, yari tsuzukeru koto ga taisetsu desu.
No matter how tough things get, it's important to stay consistent with what you're doing."
って(tte),named; called ~,"Meaning 意味 named; called ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Noun って っていう",jlpt_n4,"これはたい焼きっていう食べ物だよ。
kore wa taiyaki tte iu tabe mono da yo.
This is a food called ""taiyaki"".","コストコってスーパーに行ったことがありますか。
kosutoko tte suupaa ni itta koto ga arimasu ka?
Have you ever been to the supermarket (called) Costco?","みんなの日本語って教科書がだれでも知っているね。
minna no nihongo tte kyoukasho ga dare demo shitte iru ne.
Everyone knows the Japanese textbook ""minna no nihongo"", right?","これは日本語でじゃんけんっていうゲームだよ。
kore wa nihongo de janken tte iu geemu da yo.
This is a game called ""janken"" in Japanese.","ドラゴンボールっていうマンガが一番好きだ。
doragon booru tte iu manga ga ichiban suki da.
Dragon Ball is my favorite manga."
やすい(yasui),easy to; likely to; prone to; have a tendency to ~,"Meaning 意味 easy to; likely to; prone to; have a tendency to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) やすい",jlpt_n4,"日本語は分かりやすいです。
nihongo wa wakari yasui desu.
Japanese is easy to understand.","先生の声が聞きやすいです。
sensei no koe ga kiki yasui desu.
The teacher's voice is easy to hear / easy to listen to.","ひらがなは漢字より書きやすいです。
hiragana wa kanji yori kaki yasui desu.
Hiragana is easier to write than kanji.","光に感じやすい。
hikari ni kanji yasui.
To be sensitive to light.","彼女はカゼを引きやすいです。
kanojo wa kaze o hiki yasui desu.
She is prone to getting colds."
やっと(yatto),at last; finally; barely; narrowly ~,"Meaning 意味 at last; finally; barely; narrowly ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 やっと phrase",jlpt_n4,"やっとレポートを書き上げた。
yatto repooto o kaki ageta.
I finally finished writing my report.","私はやっと家に帰ることが出来る。
watashi wa yatto ie ni kaeru koto ga dekiru.
I can finally return home!","社長の長い話がやっと終わった。
shachou no nagai hanashi ga yatto owatta.
The company president's long story finally ended.","やっと自転車に乗れるようになりました。
yatto jitensha ni noreru youni narimashita.
I finally learned how to ride a bicycle!","『おはようございます。今日はいい天気ですね。』『おはよう。やっと晴れたね。』
""Good morning! Today's weather is nice, isn't it?""""Morning. Indeed, the sun finally came out."""
より(yori),than; rather than; more than ~,"Meaning 意味 than; rather than; more than ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs , Japanese particles
How to use 使い方 [A]より[B] OR より + adjective",jlpt_n4,"今日は昨日より暑いです。
kyou wa kinou yori atsui desu.
Today is more hot than yesterday.","最近、円はドルより安い。
saikin, en wa doru yoru yasui.
Lately the Yen is cheaper than the dollar.","今は恋愛より仕事だ。
ima wa renai yori shigoto da.
I'm more interested in work than love right now.","彼女は、私より料理が上手。
kanojo wa watashi yori ryouri ga jouzu.
She's better at cooking than I am.","それより安くは売られません。
sore yori yasuku wa uraremasen.
I can't sell it for any less (more cheap) than that."
ようだ(you da),appears; seems; looks as if ~,"Meaning 意味 appears; seems; looks as if ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: auxiliary , suffix , よう expressions
How to use 使い方 Verb (casual) ようだ Noun + の な-adjective + な い-adjective",jlpt_n4,"雨のようだ。
ame no you da.
It looks like rain..","そのようだ。
sono you da.
It seems to be that way.","今日は寒くなるようだ。
kyou wa samuku naru you da.
It looks like it's gonna get pretty cold today.","彼女はうれしくないようだ。
kanojo wa ureshikunai you da.
She doesn't seem happy.","だいぶ変わったようだな。
daibu kawatta you da na.
(it) seems to have changed considerably"
ように / ような(you ni / you na),like; as; similar to ~,"Meaning 意味 like; as; similar to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: よう expressions
How to use 使い方 Verb (casual) ように ような Noun + の",jlpt_n4,"犬のように働いている。
inu no you ni hataraiteiru.
I'm working like a dog","その二人は燃えるような愛がありますね。
sono futari wa moeru you na ai ga arimasune.
Those two seem to have a smoldering-like love for each other.","彼は家族のためだけに生きていたように思える。
kare wa kazoku no tame dake ni ikiteita you ni omoeru.
He seemed to live only for his family in my opinion.","見えるように、このパソコンはとても古いですがまだ使われている。
mieru you ni, kono pasokon wa totemo furui desu ga mada tsukawareteiru.
As you can see, this computer is very old, but it's still being used.","私を子どものように扱わないで。
watashi o kodomo no you ni atsukawanaide.
Don't treat me as a kid."
ようになる(you ni naru),to reach the point that; to come to be that; to turn into ~,"Meaning 意味 to reach the point that; to come to be that; to turn into ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: よう expressions
How to use 使い方 Verb (dictionary form) ようになる Verb (ない form)",jlpt_n4,"大きくなったら分かるようになるよ。
ookiku nattara wakaru you ni naru yo.
When you get older, you'll understand.","毎日練習すれば、泳げるようになります。
mainichi renshuu sureba, oyogeru youni narimasu.
If you practice everyday, you'll eventually be able to swim.","やっと自転車に乗れるようになりました。
yatto jitensha ni noreru youni narimashita.
I finally learned how to ride a bicycle!","たくさん勉強したので、日本語を話せるようになりました。
takusan benkyou shita node, nihongo o hanaseru youni narimashita.
I studied a lot and became able to speak Japanese.","薬を飲んで、よく寝られるようになりました。
kusuri o nonde, yoku nerareru youni narimashita.
I was able to sleep well after taking some medicine."
ようにする(you ni suru),to try to; to make sure that ~,"Meaning 意味 to try to; to make sure that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: よう expressions
How to use 使い方 Verb (dictionary form) ようにする ようにします ようにしている ようにしています Verb (ない form)",jlpt_n4,"明日早く起きるようにする。
ashita hayaku okiru you ni suru.
I'll try to wake up early tomorrow.","それを忘れないようにする。
sore o wasurenai you ni suru.
I'll be sure to remember that.","明日から仕事に行く前に毎日ラニングをするようにします。
ashita kara shigoto ni iku mae ni mainichi raningu o suru you ni shimasu.
From tomorrow I'm going to try to go running before work every day.","今日からお酒を飲まないようにします。
kyou kara osake o nomanai you ni shimasu.
I'm going to not drink alcohol anymore from today.","毎日歩くようにしている。
mainichi aruku you ni shiteiru.
I'm trying to walk every day."
ぜひ(zehi),by all means; certainly; definitely ~,"Meaning 意味 by all means; certainly; definitely ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 ぜひ 是非 Phrase Related Kanji 漢字 N1 Kanji: 是 (ze, shi, kore, kono, koko) Meaning: just so, this, right, justice",jlpt_n4,"私はぜひそこで働きたい。
watashi wa zehi soko de hatarakitai.
I would really like to work there.","ぜひ、今度うちへ遊びに来てください。
zehi, kondo uchi e asobi ni kite kudasai.
Definitely please come over to hang out sometime.","彼女はぜひそこへ行きたいと言った。
kanojo wa zehi soko e ikitai to itta.
She said that she was eager to go there.","日本に来きたら、ぜひ連絡してください。
nihon ni kitara, zehi renraku shite kudasai.
If you ever come to Japan, be sure to let me know!","ベトナムに旅行したら、ぜひフォーを食べてみたいです。
betonamu ni ryokou shitara, zehi foo o tabete mitai desu.
If I ever go to Vietnam, I would like to try eating Pho noodles."
