japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
ないものでもない(nai mono demo nai),is not entirely impossible,"Meaning 意味 is not entirely impossible
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (ない form) （もの）でもない",jlpt_n1,,"あなたが本気で勉強すれば、半年でN1合格をできないものでもない。
anata ga honki de benkyou sureba, hantoshi de N1 goukaku o dekinai mono demo nai.
If you study hard, it's not impossible to pass N1 in half a year.","今すぐに家を出れば、コンサートに間に合わないものでもない。
ima sugu ni ie o dereba, konsaato ni ma ni awanai mono demo nai.
You may be able to make it in time for the concert if you leave the house right now.","今から皆で頑張れば、この提案は成立しないものでもない。
ima kara mina de ganbareba, kono teian wa seiritsu shinai mono demo nai.
If we all do our best from now on, this proposal may not be unsuccessful.","条件によってはその仕事を引き受けないものでもない。
jouken ni yotte wa sono shigoto o hikiukenai mono demo nai.
I may be willing to take the work on depending on the conditions.","私はそのシステムを作れないものでもないですが、お金と時間がかかります。
watashi wa sono shisutemu o tsukurenai mono demo nai desu ga, okane to jikan ga kakarimasu.
It's not that I can't make that system, but it costs money and time."
ないものか / ないものだろうか(nai mono ka / nai mono darou ka),isn't there; can’t we…?; can’t I…?,"Meaning 意味 isn't there; can’t we…?; can’t I…?
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (ない form) ものか ものだろうか",jlpt_n1,,"あなたがもう少し分かりやすく話せないものか。
anata ga mousukoshi wakari yasuku hanasenai mono ka.
Can't you make it a little easier to understand?","この橋は早く完成しないものか。
kono hashi wa hayaku kansei shinai mono ka.
Can't this bridge be finished soon?","この匂いはなんとかならないものか。
kono nioi wa nan toka naranai mono ka.
Can't we do anything about this smell?","デジカメが壊れた。何とか直らないものだろうか。
dejikame ga kowareta. nan toka naoranai mono darou ka.
The digital camera is broken. Can anything be done to fix it?","子どもに野菜を食べてもらう良い方法がないものだろうか。
kodomo ni yasai o tabete morau yoi houhou ga nai mono darou ka.
Isn't there a good way to get kids to eat vegetables?"
並み(nami),average; ordinary; same level as; equal to; on par with ~,"Meaning 意味 average; ordinary; same level as; equal to; on par with ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Usage 1 Noun + 並み（に） Usage 2 並みの + Noun Related Kanji 漢字 N2 Kanji: 並 (nami, naraberu) Meaning: row, and, besides",jlpt_n1,,"君の料理はプロ並みだ。
kimi no ryouri wa puro nami da.
Your cooking is like a professional.","彼女の歌はプロ並みに上手だ。
kanojo no uta wa puro nami ni jouzu da.
Her songs are as good as a professional.","彼女は日本人並みに日本語が上手だ。
kanojo wa nihonjin nami ni nihongo ga jouzu da.
She speaks Japanese as good as a Japanese person does.","あの子は大人並みに漢字をよく知っている。
ano ko wa otona nami ni kanji o yoku shitteiru.
That kid knows as much kanji as an adult does.","英語の先生としては世間並みだ。
eigo no sensei toshite wa seken nami da.
As an English teacher, they are average."
なんという / なんと / なんて(nan to iu / nanto / nante),"how (beautiful, etc.); what a ~","Meaning 意味 how (beautiful, etc.); what a ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 なんという Noun だ / か / だろう なのだろう なんだろう な-adj なんと なんて Noun + なん/の だろう な-adj + なん/の い-adj + の Related Kanji 漢字 N5 Kanji: 何 (nani) what",jlpt_n1,,"ここからの景色、なんて綺麗なんだろう。
koko kara no keshiki, nante kirei nan darou.
What a beautiful view from here!","彼女は軽く触られても大きく叫んだ。なんという敏感な人だ。
kanojo wa karuku sawararete mo ookiku sakenda. nan to iu binkan na hito da.
She shouted loudly when touched lightly. What a sensitive person.","あいつは雷の音でも怖がっている。なんという臆病な人だ。
aitsu wa kaminari no oto demo kowagatte iru. nan to iu okubyou na hito da.
He is scared even by the sound of thunder. What a timid person he is!","彼は一人で冷蔵庫を運んでしまって。なんという凄い力だ。
kare wa hitori de reizouko o hakonde shimatte. nan to iu sugoi chikara da.
He carried the refrigerator all by himself. What a great power he has!","こんな安い給料で真面目に働く彼はなんてバカらしい。
konna yasui kyuuryou de majime ni hataraku kare wa nante baka rashii.
How stupid he is to work seriously with such a low salary."
ならでは(nara dewa),distinctive of; uniquely applying to; special to ~,"Meaning 意味 distinctive of; uniquely applying to; special to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun ならでは",jlpt_n1,,"納豆は日本ならではの食べ物だ。
nattou wa nihon nara dewa no tabemono da.
Natto is a food distinctive of Japan.","それはあなたならではの発想です。
sore wa anata nara dewa no hassou desu.
That is something only you would be able to think of.","彼ならではとてもこの仕事は扱えない。
kare nara dewa totemo kono shigoto wa atsukaenai.
There is no one who I can entrust this job to other than you.","これは当店ならではの特別価格です。
sore wa touten nara dewa no tokubetsu kakaku desu.
This is a special price that is only offered in this store.","このような習慣があるのは、この地方ならではです。
kono youna shuukan ga aru no wa, kono chihou nara dewa desu.
This kind of custom is unique to this region."
ならいざしらず / はいざしらず(nara iza shirazu / wa iza shirazu),I don't know about ... but; it may be possible for ... but ~,"Meaning 意味 I don't know about ... but; it may be possible for ... but ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Noun ならいざしらず はいざしらず",jlpt_n1,,"10年前ならいざ知らず、今時、テレビを持っていない人は珍しい
10ねんまえならいざしらず、いまどき、テレビをもっていないひとはめずらしい
10 nen mae nara iza shirazu, imadoki, terebi o motteinai hito wa mezurashii.","他の人ならいざ知らず、私はそんなことができない。
hoka no hito nara iza shirazu, watashi wa sonna koto ga dekinai.
I don't know about others, but I can't do it.","外国はいざ知らず、それは我が国では法律で禁止されている。
gaikoku wa iza shirazu, sore wa wagakuni de wa houritsu de kinshi sarete iru.
I don't know about other countries, but it is prohibited by law in our country.","一週間の旅行はいざ知らず、日帰り旅行にはそんな大きなかばんは要らない。
isshuukan no ryokou wa iza shirazu, higaeri ryokou ni wa sonna ookina kaban wa iranai.
I don't know about a week's travel, but for a day trip, you don't need such a big bag.","初めてとか２回目ならいざ知らず、経験者が失敗するのは許されない。
hajimete toka 2 kaime nara iza shirazu, keikensha ga shippai suru no wa yurusarenai.
If it's the first time or the second time that's different, but it's unforgivable for an experienced person to fail."
なり(nari),as soon as; right after ~,"Meaning 意味 as soon as; right after ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Verb (dictionary form) なり",jlpt_n1,,"家を出るなり、雨が降りだした。
ie o deru nari, ame ga furidashita.
It started raining as soon as I left the house.","窓を開けるなり、変な虫が入ってきた。
mado o akeru nari, henna mushi ga haittekita.
As soon as I opened the window, some strange bug entered the room.","赤ん坊は、私の顔を見るなり、大声で泣き出した。
akanbou wa, watashi no kao o miru nari, oogoe de nakidashita.
Once the baby saw my face, it started crying.","入ってくるなり、彼は倒れた。
haitte kuru nari, kare wa taoreta.
The instant he came in, he fell down.","うちの息子は学校から帰るなり、パソコンばっかり。
uchi no musuko wa gakkou kara kaeru nari, pasokon bakkari.
Once our son returns from school, all he does is use the computer."
なりに / なりの(nari ni / nari no),suitable; in one's own way/style,"Meaning 意味 suitable; in one's own way/style
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 Verb なりに なりの + Noun Noun な-adjective い-adjective",jlpt_n1,,"初心者なりによくやった。
shoshinsha nari ni yoku yatta.
He did well for a beginner.","私なりに頑張ったつもりだったが、結果はダメだった。
watashi nari ni ganbatta tsumori datta ga, kekka wa dame datta.
I planned to give it my best in my own way, but the result was not good.","自分なりの魅力を出したい。
jibun nari no miryoku o dashitai.
I want to show my own appeal in my own way.","彼は足が遅いが、遅いなりに全力で走った。
kare wa ashi ga osoi ga, osoi nari ni zenryoku de hashitta.
Although he is slow, he ran giving his best effort.","山田は彼なりに良いやつだ。
yamada wa kare nari ni yoi yatsu da.
In his own way, Yamada is a pretty good guy."
なりとも(nari tomo),at least; even just a little (adverbial particle),"Meaning 意味 at least; even just a little (adverbial particle)
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs , Japanese particles
How to use 使い方 Noun Adverb なりとも",jlpt_n1,,"誰なりとも連れて来い。
dare nari tomo tsurete koi.
Bring anyone you'd like.","ちょっとなりとも会いたい。
chotto nari tomo aitai.
I would like to see him, even if just for a while.","写真なりとも見たい。
shashin nari tomo mitai.
I would like to see at least a photo of him.","何なりともご遠慮無く召し上がれ。
nani nari tomo go enryo naku meshi agare.
Please help yourself to anything you like.","わずかなりともお役に立てるのであれば、喜んでお手伝いいたします。
wazuka nari tomo oyaku ni tateru no de areba, yorokonde otetsudai itashimasu.
I would be glad to help, even though I may only be of little use.."
なり～なり(nari~nari),[A] or [B] or something; for instance ~,"Meaning 意味 [A] or [B] or something; for instance ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Noun-1 なり Noun-2 なり Verb-1 (dictionary form) Verb-2 (dictionary form)",jlpt_n1,,"どうせ暇なら、掃除なり洗濯なりしてくれない？
douse hima nara, souji nari sentaku nari shite kurenai?
Since you have nothing to do, could you please help with the cleaning or laundry?","メールなり電話なりで、彼女に連絡してください。
meeru nari denwa nari de, kanojo ni renraku shite kudasai.
Please get in touch with her by e-mail or phone.","顔色が悪いですよ。座るなり横になるなり、楽にしてください。
kaoiro ga warui desuyo. suwaru nari yoko ni naru nari, raku ni shite kudasai.
You're face is pretty pale. Please sit down or lay down, whatever makes you comfortable.","休みで仕事がないなら、掃除するなり洗濯するなり、家事を手伝ったらどう？
yasumi de shigoto ga nai nara, souji suru nari sentaku suru nari, kaji o tetsudattara dou?
Since you're off of work, why don't you help out with the housework like cleaning or laundry?","この魚は生では食べられないから、煮るなり焼くなりしてください。
kono sakana wa nama de wa taberarenai kara, niru nari yaku nari shite kudasai.
This fish can't be eaten raw, so please boil or fry it somehow."
なしに / なしで(nashi ni / nashi de),without; without doing ~,"Meaning 意味 without; without doing ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: without
How to use 使い方 Verb (dictionary form) + こと なしに（は） なしで（は） Noun",jlpt_n1,,"あなたなしでは生きていけない。
anata nashi de wa ikite ikenai.
I cannot go on living without you..","この映画は涙なしに観ることができない。
kono eiga wa namida nashi ni miru koto ga dekinai.
It is not possible to watch this movie without crying.","先生の許可なしに、それは使えないよ。
sensei no kyoka nashi ni, sore wa tsukaenai yo.
You cannot use that without your teacher's permission.","練習することなしに、勝利することはありえないだろう。
renshuu suru koto nashi ni, shouri suru koto wa arienai darou.
Without practicing, there's no chance of winning...","皆さんの協力なしには、できません。
minna san no kyouryoku nashi ni wa, dekimasen.
We can't do it without everyone's cooperation."
にあって(ni atte),at; on; during; in the condition of​ ~,"Meaning 意味 at; on; during; in the condition of​ ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Noun にあって（は / も）",jlpt_n1,,"彼は事故にあって足を折った。
kare wa jiko ni atte ashi o otta.
He had an accident and broke his leg.","彼は危険にあって勇敢だった。
kare wa kiken ni atte yuukan datta.
He showed bravery in the face of danger.","彼は落雷にあって死んだ。
kare wa rakurai ni atte shinda.
The lightning struck him dead.","母は大学講師だが、家庭にあっては普通の母親だ。
haha wa daigaku koushi daga, katei ni atte wa futsuu no hahaoya da.
My mother is a university lecturer, but she is an ordinary mother at home.","困難な状況にあっても彼は絶対にあきらめない。
konnanna joukyou ni atte mo kare wa zettaini akiramenai.
No matter how complicated of a situation it may become, he will never give up."
に引き換え(ni hikikae),compared to; in contrast to; unlike; while; whereas ~,"Meaning 意味 compared to; in contrast to; unlike; while; whereas ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary) + の にひきかえ にひきかえて Noun + （である） な-adjective + な/である い-adjective Related Kanji 漢字 N3 Kanji: 引 (in, hiku) Meaning: pull, tug, jerk N2 Kanji: 換 (kan, kaeru) Meaning: interchange; period; change",jlpt_n1,,"去年のJLPTにひきかえ、今年のはとても難しかった。
kyonen no JLPT ni hikikae, kotoshi no wa totemo muzukashikatta.
This year was very difficult, as opposed to last year's JLPT.","隣の立派な家にひきかえ、うちの家は古くてみすぼらしい。
tonari no rippana ie ni hikikae, uchi no ie wa furukute misuborashii.
In contrast to the magnificent house next door, our house is old and shabby.","彼は仕事でとても真面目なのにひきかえ、個人生活には超だらしない。
kare wa shigoto de totemo majime na no ni hikikae, kojin seikatsu ni wa chou darashinai.
He is very serious at work, unlike his personal life where he is super sloppy.","昨日までは暑いのにひきかえ、今日はずいぶん涼しくなった。
kinou made wa atsui no ni hikikae, kyou wa zuibun suzushiku natta.
It was hot until yesterday, but it's getting cooler today.","彼女はたくさん友達がいるのにひきかえ、私は友達と呼べる人は全然いない。
kanojo wa takusan tomodachi ga iru no ni hikikae, watashi wa tomodachi to yoberu hito wa zenzen inai.
In contrast to her abundance of friends, I have absolutely no one to call a friend."
に至る / に至った(ni itaru / ni itatta),leads to; come to a conclusion,"Meaning 意味 leads to; come to a conclusion
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) に至る 至った に至らず Noun Related Kanji 漢字 N1 Kanji: 至 (shi, ita(ru)) Meaning: climax, arrive, proceed, reach, attain, result in",jlpt_n1,,"この道は公園に至る。
kono michi wa kouen ni itaru.
This road leads to the park.","この病気は手術に至らず、薬だけで治った。
kono byouki wa shujutsu ni itarazu, kusuri dake de naotta.
This disease is not to the point of surgery, one can get better just by taking medicine.","塾にも通って一生懸命勉強したが、結局合格に至らなかった。
juku ni mo kayotte isshoukenmei benkyou shita ga, kekkyoku goukaku ni itaranakatta.
I went to a cram school and studied hard, but in the end I didn't pass.","多くの人の協力を得て、この実験が成功するに至りました。
ooku no hito no kyouryoku o ete, kono jikken ga seikou suru ni itarimashita.
With the support of many people, this experiment was successful.","学校に行くのが退屈すぎると思うから、退学する結論に至る。
gakkou ni iku no ga taikutsu sugiru to omou kara, taigaku suru ketsuron ni itaru.
I think going to school is too boring and so I came to the conclusion of leaving school."
に至るまで(ni itaru made),as far as; up until; everything from ... to ~,"Meaning 意味 as far as; up until; everything from ... to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun に至るまで Related Kanji 漢字 N1 Kanji: 至 (shi, ita(ru)) Meaning: climax, arrive, proceed, reach, attain, result in",jlpt_n1,,"会社の面接で、貯金の額に至るまで、いろいろ聞かれた。
kaisha no mensetsu de, chokin no gaku ni itaru made, iroiro kikareta.
At the job interview, I was asked about many things, even the amount of my savings.","このアニメは子供から大人に至るまで幅広い層で人気があります。
kono anime wa kodomo kara otona ni itaru made habahiroi sou de ninki ga arimasu.
This anime is popular with a wide range of people, from children to adults.","彼女は10年前から今に至るまで教師として勤めています。
kanojo wa 10 nen mae kara ima ni itaru made kyoushi toshite tsutomete imasu.
She has been work a teacher for 10 years until now","日常おかずから高級料理の食材に至るまで、この店にないものはない。
nichijou okazu kara koukyuu ryouri no shokuzai ni itaru made, kono mise ni nai mono wa nai.
From everyday dishes to premium food ingredients, there's nothing this store doesn't have.","旅行中に買ったものからハンドバッグの中身に至るまで、厳しく調べられた。
ryokouchuu ni katta mono kara handobakku no nakami ni itaru made, kibishiku shirabe rareta.
Everything that bought while traveling down to the contents of my handbag was strictly searched."
に至っては(ni ittate wa),when it comes to; as for ~,"Meaning 意味 when it comes to; as for ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun に至っては Related Kanji 漢字 N1 Kanji: 至 (shi, ita(ru)) Meaning: climax, arrive, proceed, reach, attain, result in",jlpt_n1,,"いつも賛成するの母に至っては今度、僕の計画に反対した。
itsumo sansei suru no haha ni itatte wa kondo, boku no keikaku ni hantai shita.
Even my mother, who always agrees with me, is opposing my plan this time.","これは特に学校の重要な問題です。校長先生に至っては勝手に決められない。
kore wa tokuni gakkou no juuyou na mondai desu. kouchou sensei ni itatte wa katte ni kimerarenai.
This is a particularly important issue for the school. Even the school principal cannot decide this on their own.","今年の夏は信じられないほど暑く、地元に至っては40度まで気温が上昇した。
kotoshi no natsu wa shinji rarenai hodo atsuku, jimoto ni itatte wa 40 do made kion ga joushou shita.
This summer was unbelievably hot, with temperatures rising to even 40 degrees Celsius in the local area.","今年は不景気で、どの会社も募集が少ない。当社に至っては次の2年に人事を採用しないそうだ。
kotoshi wa fukeiki de, dono kaisha mo boshuu ga sukunai.tousha ni itatte wa tsugi no 2 nen ni jinji o saiyou shinai sou da.
The economy is in a recession this year, and most all companies are barely hiring. It seems that even our company will not hire any new staff over the next two years.","彼の成績が落ちてきている。今回の試験に至ってはクラスの上位30位にも入れていない。
kare no seiseki ga ochite kite iru. konkai no shiken ni itatte wa kurasu no joui 30 i ni mo hairete inai.
His grades are going down. He didn't even get in the top 30 of the class for this exam."
にかかっている(ni kakatteiru),depending on; to depend on; whether or not,"Meaning 意味 depending on; to depend on; whether or not
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun にかかっている Phrase",jlpt_n1,,"合格できるかどうかは、これから１ヶ月のがんばりにかかっている。
goukaku dekiru ka douka wa, korekara ikkagetsu no ganbari ni kakatteiru.
Whether or not you can pass depends on your hard work for the next month.","俺たちのチームが勝つかどうかは、君にかかっているよ。
oretachi no chiimu ga katsu ka douka wa, kimi ni kakatteiru yo.
Whether our team wins or not is up to you.","私たちの会社の運命は、新しい社長の手腕にかかっている。
watashitachi no kaisha no unmei wa, atarashii shachou no shuwan ni kakatteiru.
The fate of our company depends on the skill of the new president.","契約の成否は、取引先がこの条件をどう考えるかにかかっている。
keiyaku no seihi wa, torihikisaki ga kono jouken o dou kangaeru ka ni kakatteiru.
Whether to sign the contract or not depends on how the client thinks about the conditions.","新しい自転車を買ってもらえるかどうかは、来月のテストの結果にかかっている。
atarashii jitensha o katte moraeru ka douka wa, raigetsu no tesuto no kekka ni kakatteiru.
Whether or not we will buy you a new bicycle depends on your results of next month's tests."
にしたところで / としたところで(ni shita tokoro de / to shita tokoro de),even if; even supposing that ~,"Meaning 意味 even if; even supposing that ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions , ところ expressions
How to use 使い方 Verb (dictionary) にしたところで としたところで にしたって としたって Noun な-adjective い-adjective + い",jlpt_n1,,"いくらおいしいにしたって、その見た目じゃ食べる気にならない。
ikura oishii ni shitatte, sono mitame ja taberu ki ni naranai.
No matter how delicious it may be, with that appearance I don't feel like eating it.","走ったとしたって間に合わないだろうから、次の電車にしよう。
hashitta to shitatte maniawanai darou kara, tsugi no densha ni shiyou.
Even if I ran, I wouldn't be in time, so let's take the next train.","どちらにしたって状況が悪いことには変わりない。
dochira ni shitatte joukyou ga warui koto ni wa kawari nai.
Either way, the situation is still bad.","今から急いだとしたって間に合わないだろう。
ima kara isoida to shitatte maniawanai darou.
Even if you hurry from now on, you won't make it in time.","これから毎日勉強するにしたところで、3ヶ月じゃ合格できないだろう。
kore kara mainichi benkyou suru ni shita tokoro de, 3 kagetsu ja goukaku dekinai darou.
Even if you studied every day from now on, you won't be able to pass in just 3 months."
にして(ni shite),"at / on / under certain conditions (time, position, age, number of times)","Meaning 意味 at / on / under certain conditions (time, position, age, number of times)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun にして",jlpt_n1,,"３回目にして、やっとN１に合格することができた。
3 kai me ni shite, yatto N1 ni goukaku suru koto ga dekimashita.
I finally passed the JLPT N1 on my 3rd try!","田中さんは18歳にして、社長になった。
tanaka san wa 18 sai ni shite, shachou ni natta.
Mr. Tanaka became a company president when he was only 18.","頼んでいた仕事を彼は一日にして全て終わらせてしまった。
tanondeita shigoto o kare wa ichinichi ni shite subete owarasete shimatta.
He finished all of the requested work in just one day.","彼女は、４５歳にして孫が生まれたらしいよ！
kanojo wa, 45 sai ni shite mago ga umareta rashii yo!
I heard that she had a grandchild at just 45!","天才の彼にして間違えるのだから、できないのは当然である。
tensai no kare ni shite machigaeru no dakara, dekinai no wa touzen de aru.
If that genius couldn't solve it then it's only natural that you couldn't either."
に耐える / に耐えない(ni taeru / ni taenai),worth doing; can do; cannot bear doing ~,"Meaning 意味 worth doing; can do; cannot bear doing ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) に耐える / に堪える に堪える / に堪えない にたえる / にたえない Noun Related Kanji 漢字 N1 Kanji: 耐 (tai, ta(eru)) Meaning: -proof, enduring",jlpt_n1,,"この展示は鑑賞に耐える作品が少ない。
kono tenji wa kanshou ni taeru sakuhin ga sukunai.
There are not many works of art which are worth looking at in this exhibition.","今年は鑑賞に堪える日本の映画が多くて、とてもよかった。
kotoshi wa kanshou ni taeru nihon no eiga ga ookute, totemo yokatta.
It was great that there were many Japanese movies this year that were worthy of appreciation.","この写真はアマチュアカメラマンが撮ったものだが、十分評価に耐える作品だ。
kono shashin wa amachua kameraman ga totta mono daga, juubun hyouka ni taeru sakuhin da.
This photo was taken by an amateur photographer, but it is a work that is worthy of recognition.","このアニメは子供向けに作られていますが、大人でも見るに堪える内容です。
kono anime wa kodomo muke ni tsukurate imasu ga, otona demo miru ni taeru naiyou desu.
This anime is made for children, but it's content that even adults can watch.","これは20年間の使用に耐える丈夫な製品です。
kore wa 20 nenkan no shiyou ni taeru joubu na seihin desu.
This is a very durable product which will last for 20 years."
に足らない / に足りない(ni taranai / ni tarinai),cannot; not worthy; not worth doing ~,"Meaning 意味 cannot; not worthy; not worth doing ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) に足らない に足りない Noun ※ must be suru verb.",jlpt_n1,,"それは取るに足らない話だ。
sore wa toru ni taranai hanashi da.
That's not a story worth mentioning.","彼は頼むに足りない人だ。
kare wa tonomu ni tarinai hito da.
He is an unreliable person.","4人いれば何事も恐れるに足らない。
4にんいればなにごともおそれるにたらない。
4 nin ireba nanigoto mo osoreru ni taranai.","あなたの実力をもってすれば、大学入試など恐れるに足りない。
anata no jitsuryoku o motte sureba, daigaku nyuushi nado osoreru ni tarinai.
With your ability, you don’t need to worry about the university entrance exam.","彼らの言葉は一つとして信じるに足りない。
karera no kotoba wa hitotsu toshite shinjiru ni tarinai.
Not a single of their words are believable."
に照らして(ni terashite),according to; in view of; in light of ~,"Meaning 意味 according to; in view of; in light of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun に照らして Related Kanji 漢字 N2 Kanji: 照 (shou, teru) Meaning: illuminate; shine; compare",jlpt_n1,,"彼は社則に照らして処分された。
kare wa shasoku ni terashite shobun sareta.
He was punished according to company rules.","犯罪は全て法に照らして裁かれる。
hanzai wa subete hou ni terashite sabaka reru.
All crimes are judged in the light of the law.","彼は自分の経験に照らして後輩にアドバイスした。
kare wa jibun no keiken ni terashite kouhai ni adobaisu shita.
He advised his juniors according from his experience.","その事実に照らして彼に罪がないことは明らかだ。
sono jijitsu ni terashite kare ni tsumi ga nai koto wa akiraka da.
In light of that fact, it is clear that he is innocent.","赤の服は現地の文化規範に照らして着用しないほうがいい。
aka no fuku wa genchi no bunka kihan ni terashite chakuyou shinai hou ga ii.
According to local cultural norms, you should not wear red clothing."
にとどまらず(ni todomarazu),not limited to; not only… but also ~,"Meaning 意味 not limited to; not only… but also ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) にとどまらず（～も） Noun +（である） な-adjective + である い-adjective + だけ",jlpt_n1,,"母のケーキ作りは単なる趣味にとどまらず、自分の店を開くまでになった。
haha no keeki tsukuri wa tan naru shumi ni todomarazu, jibun no mise o hiraku made ni natta.
Making cakes for my mother was more than just a hobby, I even opened my own shop.","アニメや漫画は日本にとどまらず、海外でも多くのファンを増やしている。
anime ya manga wa nihon ni todomarazu, kaigai demo ooku no fan o fuyashite iru.
Anime and manga are gaining a lot of fans not only in Japan but also overseas.","この小説は、女性にとどまらず、若い男性にも人気そうだ。
kono shousetsu wa, josei ni todomarazu, wakai dansei ni mo ninki sou da.
This novel seems to be popular not only with women but also with young men.","彼はそのレストランで、文句を言うにとどまらず、テーブルをひっくり返してしまった。
kare wa sono resutoran de, monku o iu ni todomarazu, teeburu o hikkuri kaeshite shimatta.
He not only complained to the restaurant, he flipped the table over.","彼女の研究は科学にとどまらず、医療分野にも広がっている。
kanojo no kenkyuu wa kagaku ni todomarazu, iryou bunya ni mo hirogatte iru.
Her research is not limited to science and extends to the medical field as well."
によらず(ni yorazu),regardless of ~,"Meaning 意味 regardless of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun によらず",jlpt_n1,,"性別、年齢によらず、条件に当てはまる方であれば誰でもいいです。
seibetsu, nenrei ni yorazu, jouken ni ate wa maru kata de areba dare demo ii desu.
Anyone who meets the conditions is welcome, regardless of gender or age.","この学習書はレベルによらず役に立つので買ったほうがいいでしょう。
kono gakushuusho wa reberu ni yorazu yaku ni tatsu node katta hou ga ii deshou.
This study book is useful regardless of level, so you should buy it.","君は見かけによらずよく食べるね。
kimi wa mikake ni yorazu yoku taberu ne.
You eat a lot regardless of how it looks.","このクラブは年齢によらずサッカーが好きなら参加できます。
kono kurabu wa nenrei ni yorazu sakkaa ga suki nara sanka dekimasu.
This club is open to anyone who likes soccer, regardless of their age.","うちの会社は学歴によらず、実力がある人材を求めている。
uchi no kaisha wa gakureki ni yorazu, jitsuryoku ga aru jinzai o motomete iru.
Our company is looking for talented people regardless of their educational background."
にも増して(nimo mashite),more than…; above ~,"Meaning 意味 more than…; above ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun にもまして Related Kanji 漢字 N3 Kanji: 増 (zou, masu, fueru) Meaning: increase, add",jlpt_n1,,"昨日のテストはいつにも増して難しかった気がする。
kinou no tesuto wa itsu nimo mashite muzukashikatta ki ga suru.
I felt that yesterday's test was more difficult than usual.","今年の文化祭りは、去年にも増して、たくさんの人に来てもらえた。
kotoshi no bunka matsuri wa, kyonen nimo mashite, takusan no hito ni kite moraeta.
This year's cultural festival attracted many more people than last year.","久しぶりに会った友達は、以前にも増して美しかった。
hisashiburi ni atta tomodachi wa, izen nimo mashite utsukushikatta.
My friend who I had not seen in a while was even more beautiful than before.","お母さんは誰にも増して、お父さんのことを心配しているよ。
okaasan wa dare nimo mashite, otousan no koto o shinpai shite iru yo.
Mom is more worried about Dad than anyone else.","今日はいつもにも増して寒いし早く帰りたいです。
kyou wa itsumo nimo mashite samuishi hayaku kaeritai desu.
It's colder than usual today and I want to go home early."
のなんのって(no nan notte),extremely ~ (cannot be expressed in words),"Meaning 意味 extremely ~ (cannot be expressed in words)
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 Verb (casual) のなんの（って） Adjective",jlpt_n1,,"このカレーは辛いのなんのって、全然食べられなかった。
kono karee wa karai no nan notte, zenzen taberarenakatta.
The curry was incredibly spicy, I couldn't eat it all.","この映画は怖いのなんのって。昨夜私は眠れなくなったほどだ。
kono eiga wa kowai no nan notte. sakuya watashi wa nemurenaku natta hodo da.
This movie is very scary. So scary that I couldn’t sleep last night.","このスマホは使いにくいのなんのって、前の機種に変更したいよ。
kono sumaho wa tsukai nikui no nan notte, mae no kishu ni henkou shitai yo.
This smartphone is extremely difficult to use, so I'd like to change to the previous model.","昨日の試験が難しかったのなんのって。僕は合格できるなんか全然思わないよ。
kinou no shiken ga muzukashikatta no nan notte. boku wa goukaku dekiru nanka zenzen omowanai yo.
Yesterday's exam was extremely difficult. I have no idea if I'll be able to pass or not.","自分が作った料理がまずいのなんのって、もう料理は作らないことに決めました。
jibun ga tsukutta ryouri ga mazui no nan notte, mou ryouri wa tsukuranai koto ni kimemashita.
The food I cook is so bad I decided to never cook again."
